Vehicle Category,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of ELECTRIC(BOV),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Andaman & Nicobar Island,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Grand Total
01-01-2014,0,1,0,0,0,0,10,7,0,1,16,2,1,1,1,44,4,0,4,85,0,0,0,0,7,2,6,4,0,26,0,6,3,1,232
01-02-2014,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,29,4,0,2,83,0,0,0,0,5,0,6,4,0,21,0,9,3,0,171
01-03-2014,0,2,0,0,2,0,12,2,0,0,4,2,0,0,0,52,2,0,5,84,0,0,0,0,4,0,2,10,0,24,0,12,1,0,220
01-04-2014,0,1,0,0,4,0,21,7,0,1,4,0,0,1,2,49,2,0,0,109,0,0,0,0,10,0,3,9,0,22,0,7,0,0,252
01-05-2014,0,1,0,1,1,0,11,8,0,0,3,1,0,1,0,36,2,0,4,65,0,0,0,0,6,1,0,12,1,21,0,10,0,1,186
01-06-2014,0,1,0,0,0,0,10,6,0,0,7,0,0,0,0,30,1,0,3,58,0,0,0,0,3,0,3,0,0,19,0,8,0,0,149
01-07-2014,0,2,0,0,0,0,13,3,0,0,13,0,0,0,0,34,1,0,7,69,0,0,0,0,5,0,1,6,0,24,0,21,0,0,199
01-08-2014,0,0,0,0,0,0,8,4,0,2,6,1,0,0,0,58,3,0,4,56,0,0,0,0,4,0,1,13,0,14,0,6,0,0,180
01-09-2014,0,2,0,0,1,0,9,3,0,2,9,1,0,0,0,62,3,0,1,52,0,0,0,0,0,0,6,5,0,7,0,5,0,0,168
01-10-2014,0,0,0,1,1,0,12,2,0,2,5,1,0,0,1,62,1,0,0,77,0,1,0,0,4,0,0,6,0,5,0,7,0,0,188
01-11-2014,0,1,0,0,2,0,14,1,0,1,7,1,0,1,0,69,2,0,2,71,0,0,0,0,2,0,2,12,0,5,0,15,2,0,210
01-12-2014,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,76,1,0,9,96,0,0,0,0,1,0,0,6,0,8,0,33,0,0,237
01-01-2015,0,1,0,2,0,0,6,6,0,1,0,1,0,0,1,69,2,0,2,70,0,0,0,0,1,0,1,1,0,9,0,1,0,0,174
01-02-2015,0,0,0,0,0,0,5,4,2,0,5,1,0,1,1,50,0,0,3,87,0,0,0,0,1,0,1,3,0,12,0,5,0,1,182
01-03-2015,0,0,0,3,2,0,4,7,0,0,6,0,0,0,1,47,2,0,2,126,0,0,0,0,5,0,0,3,1,11,0,1,0,1,222
01-04-2015,0,1,0,0,0,0,4,14,0,2,6,0,1,0,2,40,2,0,5,67,0,0,0,0,4,0,4,0,0,1,0,17,3,2,175
01-05-2015,0,0,0,0,0,0,10,25,0,0,4,0,2,0,0,36,0,0,3,61,0,0,0,0,5,4,0,24,0,11,0,4,3,3,195
